Date,Ticker,simple_return
2002-07-18,ADP,-0.23550724637681164
2008-11-19,C,-0.23440545808966862
2009-01-14,C,-0.23222094361334877
2002-11-11,AES,-0.22834645669291342
2002-10-09,AEP,-0.22794959908361967
2002-07-23,AES,-0.22702702702702715
2009-02-24,AIG,-0.22672672672672667
2025-07-31,BAX,-0.22413793103448265
2009-02-20,C,-0.22342147868321638
2009-02-04,AJG,-0.2231845436375749
2000-07-24,BKNG,-0.22311952982960548
2020-03-09,BKR,-0.2229532163742689
2009-03-20,AIG,-0.22200392927308443
2008-12-01,C,-0.22194922194922195
2002-05-02,BKNG,-0.22103904485317838
2009-07-01,AIG,-0.2208504801097394
2015-07-24,BIIB,-0.22080249318270362
2008-10-22,BKR,-0.22071837584591358
2006-07-26,AMZN,-0.22023809523809523
2001-09-18,BKNG,-0.21947101857062468
2001-04-03,AKAM,-0.21908602150537648
2000-04-19,BMY,-0.2177966101694916
2025-02-21,AKAM,-0.2172804243598898
2001-04-03,AMT,-0.2147102526002972
2008-09-15,BAC,-0.21288295365278875
2008-09-16,AIG,-0.21223262032085566
2000-07-25,AKAM,-0.21208750463477932
2008-10-08,ALL,-0.21167593328038115
2008-12-01,BAC,-0.20880913539967383
2020-03-12,AIG,-0.20864864864864863
2001-10-24,AMZN,-0.20833333333333326
2003-04-24,AKAM,-0.2080291970802921
2003-03-13,BAX,-0.20746887966804983
2009-01-29,ALL,-0.2068102153229845
2008-09-29,AIG,-0.20631313131313134
2008-10-27,AIG,-0.20589611605053826
2009-09-01,AIG,-0.20568620568620566
2011-08-08,BAC,-0.20408163265306123
2000-12-07,BBY,-0.20367751060820372
2020-03-16,AMAT,-0.20356550580431176
2008-11-19,ALL,-0.2035024154589372
2009-04-20,AIG,-0.20333988212180754
2002-10-08,AMT,-0.20289855072463758
2000-02-02,BIIB,-0.20266305574362453
2008-10-28,BK,0.20033575825405703
2000-10-19,AMAT,0.20091923834537084
2003-12-24,BIO,0.20168742466854161
2003-04-30,BIO,0.20179948586118246
2008-11-24,AMT,0.20196078431372544
2000-03-06,BKNG,0.20247989881651463
2000-03-16,AJG,0.20255183413078148
2004-02-18,BIIB,0.20266606416629007
2000-04-17,AMAT,0.20316259883121357
2000-10-19,AMD,0.20364238410596003
2000-01-21,BIIB,0.20415647921760405
2000-06-02,AKAM,0.20465619924201417
2009-08-07,AIG,0.20480225988700562
2017-11-03,BIO,0.20503364985710348
2020-03-24,BKR,0.20528967254408048
2014-02-06,AKAM,0.20582032897511593
2009-04-24,AXP,0.20693852708460136
2002-06-27,AMT,0.2075471698113207
2009-02-24,BAC,0.20860927152317887
2020-03-24,BA,0.20886195796250706
2001-04-02,BKNG,0.21017402945113783
2001-04-18,AMD,0.2108695652173913
2008-10-20,AES,0.21113243761996148
2008-02-15,BKNG,0.21167230065619425
2016-02-10,AKAM,0.2120293151377306
2009-09-21,AIG,0.21243523316062185
2009-08-20,AIG,0.21266427718040637
2000-08-18,A,0.21266642677222025
2008-10-13,APA,0.21325051759834368
2000-02-03,AMZN,0.21325648414985587
2020-11-09,AXP,0.21378169790518187
2000-10-09,AKAM,0.21414755457308643
2001-11-07,AKAM,0.2142857142857142
2009-02-24,C,0.2145569620253165
2017-05-25,BBY,0.21467244179750944
2002-11-14,AMT,0.21505376344086002
2001-04-10,AKAM,0.2159887798036466
2003-04-22,AKAM,0.2168674698795181
2008-11-13,ALL,0.2169278996865205
2000-07-14,AMZN,0.21714285714285708
2000-10-13,BKNG,0.21717831482691063
2008-10-28,BBWI,0.21802325581395365
2009-11-12,AMD,0.21804511278195493
